Date,City,Cause of Death
07/21/2017,Shoal Bay West -  Shoal Bay,Drowning
10/22/2016,White Island Shear Zone -  Antarctica,Other Accident
04/19/2006,Codrington -  Barbuda,Other Accident
08/03/2016,Dickenson Bay -  St. John,Drowning
09/06/2016,Valley Church -  St. Mary,Drowning
09/18/2016,Dickenson Bay -  St. John,Drowning
12/19/2016,Five Islands -  St. John,Drowning
03/04/2003,Rio Chimehuin -  Junin De Los Andes -  Argentina,Drowning
03/09/2003,Gualeguaychu -  Entre Rios -  Argentina,Other Accident
06/03/2003,Vicente Lopez -  Buenos Aires -  Argentina,Homicide
08/27/2003,Buenos Aires -  Argentina,Veh. Accident-Auto
02/04/2004,Km 577 -  La Cautiva -  Rio 4 -  Prov. Cordoba -  Argentina,Other Accident
09/14/2004,Valle De Las Lenas -  Mendoza -  Argentina,Other Accident
07/23/2005,Ruta Prov. 16 -  Villa Tulumba -  Cordoba -  Argentina,Veh. Accident-Auto
10/17/2005,Cerro Mercedario -  San Juan -  Argentina,Other Accident
12/02/2005,Rosario -  Santa Fe -  Argentina,Train Accident
01/22/2006,At Sea -  Near Ushuaia -  Tierra Del Fuego -  Argentina,Other Accident
03/06/2006,Tunuyan -  Mendoza -  Argentina,Veh. Accident-Auto
04/23/2006,San Luis -  Argentina,Veh. Accident-Auto
01/09/2007,Route 7 Km 1101 -  Lujan De Cuyo - mendoza -  Argentina,Drowning - River
04/06/2007,Buenos Aires -  Argentina,Other Accident
10/10/2007,Provincial Route 6 -  Hernando -  Cordoba -  Argentina,Veh. Accid-Auto
10/12/2007,Buenos Aires -  Argentina,Other Accident
12/03/2007,Buenos Aires -  Argentina,Suicide
06/21/2008,Sanmartin And Catamarca -  Salta -  Argentina,Veh. Accident-Auto
07/16/2008,Rodriguez -  Argentina,Drowning
01/02/2009,Buenos Aires -  Argentina,Suicide
01/25/2009,Rio Grande -  Tierra Del Fuego -  Argentina,Veh. Accid-Auto
01/25/2009,Rio Grande -  Tierra Del Fuego -  Argentina,Veh. Accid-Auto
03/08/2009,San Carlos De Bariloche -  Rio Negro -  Argentina,Other Accident
03/08/2009,San Carlos De Bariloche -  Rio Negro -  Argentina,Other Accident
04/13/2009,Cordoba -  Argentina,Suicide
10/16/2009,Buenos Aires -  Argentina,Suicide
01/31/2010,Buenos Aires -  Argentina,Suicide
02/09/2010,Tupungato - Mendoza -  Argentina,Veh. Accid-Auto
07/09/2010,Cordoba -  Argentina,Drowning
12/27/2010,Buenos Aires -  Argentina,Drowning
03/21/2011,Puerto Iguazu -  Misiones -  Argentina,Drowning
03/21/2011,Puerto Iguazu -  Misiones -  Argentina,Drowning
02/18/2012,Salta -  Argentina,Suicide
08/18/2012,Rosario -  Santa Fe -  Argentina,Suicide
03/14/2013,CABA (Ciudad Autonoma de Buenos Aires) -  Argentina,Suicide
12/02/2013,Buenos Aires -  Argentina,Suicide
12/19/2013,Neuquen -  Argentina,Other Accident
02/07/2014,Mendoza,Other Accident
03/30/2014,Buenos Aires,Veh. Accid-Auto
04/25/2014,Cordoba,Veh. Accid-Auto
06/26/2014,San Javier - Rio Negro,Veh. Accid-Auto
08/02/2014,Buenos Aires,Suicide
02/07/2015,El Chalten -  Santa Cruz,Drowning
04/15/2016,El Calafate,Veh. Accid-Auto
07/08/2016,Buenos Aires,Other Accident
05/17/2004,Yerevan -  Armenia,Homicide
04/25/2009,Yerevan -  Armenia,Homicide
10/03/2010,Vayots Zvor Region -  Armenia,Veh. Accid-Auto
08/03/2011,Yerevan -  Armenia,Veh. Accid-Pedestr.
07/17/2012,Yerevan -  Armenia,Other Accident
01/30/2015,Byurakan -  Aragatsotn Province,Suicide
08/01/2015,Tsaghkadzor,Veh. Accid-Other
02/19/2017,Jermuk City,Other Accident
10/31/2017,Kotayk,Veh. Accid-Auto
07/06/2003,Seroe Colorado -  Aruba,Other Accident
07/12/2004,Aruba,Drowning
07/12/2004,Aruba,Drowning
01/26/2005,Oranjestad -  Aruba,Other Accident
02/08/2005,Aruba,Drowning
03/12/2005,Aruba,Drug-Related
06/08/2006,Palm Beach -  Aruba,Veh. Accident-Auto
10/04/2006,San Nicolas -  Aruba,Drowning
07/04/2012,Oranjestad -  Aruba,Drowning
08/06/2012,San Nicolas -  Aruba,Drowning
10/08/2002,Great Keppel Island -  Queensland -  Australia,Drowning
11/05/2002,Line Reef Off Proserpine -  Queensland -  Australia,Drowning
11/12/2002,Sandringham St. -  Sans Souci -  Australia,Veh. Accident-Motorcycle
12/09/2002,Jervis Bay -  New South Wales -  Australia,Drowning - Beach
01/01/2003,Caves Road -  Quindalup -  Western Australia -  Australia,Veh. Accident-Auto
03/21/2003,Bruce Highway -  Behanna Creek -  Queensland -  Australia,Veh. Accident-Auto
05/10/2003,Potts Point -  New South Wales -  Australia,Drug-Related
05/31/2003,Mossman Gorge National Park -  Queensland -  Australia,Drowning
06/12/2003,Twofold Bay -  Eden -  New South Wales -  Australia,Drowning
06/15/2003,Palmwood -  Queensland -  Australia,Drowning
07/17/2003,Hobart -  Tasmania -  Australia,Veh. Accident-Auto
07/25/2003,Sydney -  New South Wales -  Australia,Drug-Related
07/26/2003,Litchfield Park -  Northern Territory -  Australia,Drowning
08/13/2003,Pampoolah Rd Taree -  New South Wales -  Australia,Veh. Accident-Auto
09/27/2003,Oakleigh -  Victoria -  Australia,Suicide
10/12/2003,Pacific Highway -  Jones Island -  Australia,Veh. Accident-Auto
10/17/2003,Southport -  Queensland -  Australia,Veh. Accident-Auto
10/22/2003,Townsville -  Queensland -  Australia,Drowning -Ocean
11/03/2003,Otford Rd -  Otford -  New South Wales -  Australia,Veh. Accident-Auto
11/03/2003,Victoria Rd -  West Ryde -  Australia,Veh. Accident-Auto
11/07/2003,Northam -  Western Australia -  Australia,Veh. Accident-Motorcycle
11/07/2003,Toodyay-bindi Bindi Road Near Balgalling Rd -  Toodyay -  Western Australia -  Australia,Veh. Accident-Motorcycle
12/11/2003,Canberra -  Australian Capital Territory -  Australia,Drug-Related
12/27/2003,West Tamar Highway -  Beaconsfield -  Tasmania -  Australia,Veh. Accident-Auto
01/13/2004,Sydney -  New South Wales -  Australia,Suicide
01/17/2004,Hope Island -  Queensland -  Australia,Suicide
01/20/2004,Burnside -  South Australia -  Australia,Suicide
02/07/2004,Sydney -  New South Wales -  Australia,Suicide
02/14/2004,Lavers Hill -  Victoria -  Australia,Veh. Accident-Motorcycle
03/05/2004,Sydney -  New South Wales -  Australia,Drug-Related
05/08/2004,Surry Hills -  New South Wales -  Australia,Other Accident
06/13/2004,Bonnie Doon -  Victoria -  Australia,Homicide
06/16/2004,Hastings Reef Via Cairns -  Queensland -  Australia,Drowning
06/16/2004,New South Wales -  Australia,Veh. Accident-Motorcycle
06/28/2004,Sunnybank -  Queensland -  Australia,Suicide
09/02/2004,One Tree Hill -  South Australia -  Australia,Veh. Accident-Auto
09/11/2004,Red Rock Beach -  Near Coffs Harbour Nsw -  Australia,Drowning
09/25/2004,Wonga Beach -  Queensland -  Australia,Suicide
11/01/2004,Riddoch Highway -  Coonawarra -  South Australia,Veh. Accident-Auto
11/12/2004,Western Highway -  Near Nhill -  Victoria -  Australia,Veh. Accident-Auto
11/14/2004,Braslins Road -  Black Hills -  Tasmania -  Australia,Other Accident
11/24/2004,Agincourt Reef -  Queensland -  Australia,Drowning
12/01/2004,266 Km East Of Norseman -  Western Australia -  Australia,Veh. Accident
12/03/2004,22 Airport Road -  Glenugie -  New South Wales -  Australia,Drug-Related
12/10/2004,Kensington -  South Australia -  Australia,Suicide
02/15/2005,Glenelg -  South Australia -  Australia,Suicide
03/16/2005,Intersection Stuart Hwy & Hatt Rd. -  Alice Springs -  Northern Territory -  Australia,Veh. Accident-Auto
04/10/2005,Pope Road -  Black River -  Queensland -  Australia,Veh. Accident-Auto
04/12/2005,Tapley's Hill Road -  West Beach -  South Australia -  Australia,Veh. Accident-Auto
06/21/2005,Mitchell Falls Plateau -  Western Australia,Other Accident
06/27/2005,New South Wales -  Australia,Veh. Accident-Auto
06/27/2005,New South Wales -  Australia,Veh. Accident-Auto
06/27/2005,New South Wales -  Australia,Veh. Accident-Auto
07/05/2005,Wollahra -  New South Wales -  Australia,Suicide
09/11/2005,Queensland -  Australia,Suicide
10/30/2005,Camperdown -  New South Wales -  Australia,Other Accident
01/13/2006,Dysart Middlemount Road -  Middlemount -  Queensland -  Australia,Veh. Accident-Auto
02/20/2006,Saxon Reef -  Off The Coast Of Cairns -  Queensland -  Australia,Maritime Accident
03/03/2006,Lorne Beach -  Lorne -  Victoria -  Australia,Drowning-Beach
07/02/2006,Cloverdale -  Perth -  Western Australia,Suicide
08/08/2006,Yallingup -  Western Australia,Drowning
09/19/2006,Marsden -  New South Wales -  Australia,Suicide
09/29/2006,Sturt Street -  Townsville -  Queensland -  Australia,Veh. Accident-Auto
10/23/2006,Mooroolbark -  Victoria -  Australia,Other Accident
02/09/2007,ferntree Gully -  Victoria -  Australia,Homicide
02/18/2007,Sassafrass -  Victoria -  Australia,Suicide
02/18/2007,Springbrook Road -  Queensland -  Australia,Veh. Accident-Motorcycle
02/19/2007,Clade Batten Drive -  Noosa Heads Queensland -  Australia,Veh. Accident-Motorcycle
03/01/2007,Hillcrest -  Queensland -  Australia,Suicide
09/01/2007,Sydney -  Australia,Suicide
09/10/2007,New South Wales -  Australia,Suicide
09/23/2007,Maddington -  Australia,Suicide
11/12/2007,White Rock -  Queens Land -  Australia,Drowning
01/07/2008,23klm Minnie Bridge -  Great Northern Highway Derby Western Australia,Veh. Accid-Auto
02/11/2008,Bendigo -  Victoria -  Australia,Other Accident
10/31/2008,Sydney -  Kingswood -  New South Wales -  Australia,Suicide
12/04/2008,Queensland -  Australia,Suicide
02/07/2009,Kinglake Victoria -  Australia,Disaster
04/10/2009,Perth -  Australia,Suicide
06/06/2009,Whyanbeel -  Queensland -  Australia,Drowning
06/15/2009,Boronia -  Victoria -  Australia,Other Accident
07/08/2009,Queensland -  Australia,Drowning
